Compound_name,Fragment,Insp_frag_found,dockedSMILES,fragSMILES,SuCOS_score,Avg_SuCOS_score
JAR-KUA-672-2,x0991,0,c1ccc(OC2C[NH+](Cc3c[nH]cn3)C2)cc1,CCC(N)N,0.36936695278969955,0.11896208849740175
DAR-DIA-23a-12,x1093,1,O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,CN1CCN(C(O)CC2CNC3NCCCC23)CC1,0.5516282362394362,0.09714748621076758
SAL-INS-1c7-6,x0991,0,O=C(CCl)N1Cc2cc3c([N+](=O)[O-])cccc3cc2C(c2c[nH]cn2)C1,CCC(N)N,0.4458995572839159,0.1602804956037968
NIM-UNI-7ba-4,x1093,0,O=C(CCl)Nc1nc(=O)n(Cc2ccsc2)cc1-c1cccnc1,CN1CCN(C(O)CC2CNC3NCCCC23)CC1,0.40086086574339763,0.1530333543797191
MED-COV-428-33,x0072,1,COCc1cc(Cl)cc(C[NH+]2CCN(C(=O)CCl)CC2)c1,CS(O)(O)NCCC1CCCCC1,0.5593261744294652,0.15790306230031448
MAK-UNK-274-6,x0072,1,CS(=O)(=O)NCC(CC(N)=[NH2+])c1ccccc1,CS(O)(O)NCCC1CCCCC1,0.5967670510670471,0.1462838261130619
BEN-VAN-d8f-3,x0946,1,CCCc1c[nH]c2c(Oc3nccc(C)c3F)cc(F)c(Cl)c12,NS(O)(O)C1CCC(Br)CC1,0.4966253153836988,0.046311943747443254
MED-COV-428-9,x0072,1,NC(=O)C1CCC(CC(NC(=O)CCl)c2cccc3ccccc23)C1c1ccccc1,CS(O)(O)NCCC1CCCCC1,0.5041467499064916,0.18111842101689882
RAJ-NOV-842-1,x0107,0,O=C1NCCC1c1cc(Oc2ccccc2)nc(B(O)O)c1,CC(O)NC1CNCCC1C,0.4432844670305014,0.12495180011346158
DAR-DIA-eac-30,x0946,0,C[NH+](C)Cc1c[nH]c2c(N3CCCCCC3)cc(F)cc12,NS(O)(O)C1CCC(Br)CC1,0.49594499432640893,0.06993216474361331
ÁLV-UNI-7ff-3,x0678,1,Cc1ccc2c(c1)nc(-c1ccc(F)cc1)n2-c1ccncc1,OC(CC1CCCCC1)NC1CCCNC1,0.49666673284753554,0.14394511192009676
WES-WAB-6f4-1,x0107,0,O=C(NCCc1cncc(Nc2ccccc2Nc2ccccc2)c1)Nc1ccccc1,CC(O)NC1CNCCC1C,0.4351992483507981,0.09612673898083046
MAK-UNK-516-7,x0749,1,CCNc1ncc(C#N)cc1-c1ccc2c(c1)C(=O)NC2,CC(O)N1CCCC(C2NC3CCCCC3S2)C1,0.41077456211607255,0.12999776372200653
SCO-VAN-260-1,x0397,1,Cc1ccncc1NC(=O)N1CC[NH+](C)CC1,CC1CC(CN(C)C(O)NC2CC2)NO1,0.4119607662746313,0.12505527121637558
JOH-MSK-ec6-1,x0946,0,COc1cc2c(C(C)CNC(C)=O)c[nH]c2cc1Cl,NS(O)(O)C1CCC(Br)CC1,0.5140415785794823,0.0697711653368702
HAR-NEW-e34-8,x0946,0,NS(=O)(=O)c1cccc2c1cc(C[NH3+])n2C(=O)N1CCC(O)CC1,NS(O)(O)C1CCC(Br)CC1,0.4423878642463523,0.10990751451670007
